sample_id,source,model_label,position_bucket,top_subject,n_tokens,n_chars,mtld,flesch_kincaid_grade,hedge_count_per_100tok,disfluency_per_100tok,past_term_per_100tok,present_term_per_100tok,future_term_per_100tok,abstract_noun_ratio,is_question,contraction_rate,lowercase_first_char,nonstandard_spelling
d0368_t000,real,real,early,Number,2.0,7.0,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0162_t003,real,real,early,Number,9.0,31.0,0.0,-0.7392857142857139,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0247_t003,real,real,early,Number,5.0,15.0,0.0,-2.2299999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0246_t011,real,real,middle,Geometry and Measure,9.0,30.0,0.0,0.8049999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.11111111111111
d0201_t011,real,real,middle,Number,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0294_t013,real,real,middle,Number,6.0,23.0,0.0,-1.4499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0227_t012,real,real,middle,Algebra,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0136_t015,real,real,middle,Number,1.0,4.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0333_t009,real,real,middle,Number,1.0,7.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0139_t005,real,real,middle,Number,3.0,12.0,0.0,1.3133333333333361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0255_t031,real,real,middle,Geometry and Measure,2.0,7.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
d0324_t020,real,real,middle,Algebra,3.0,6.0,0.0,-2.619999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0086_t015,real,real,middle,Algebra,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0238_t009,real,real,middle,Geometry and Measure,2.0,9.0,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0093_t011,real,real,middle,Geometry and Measure,5.0,15.0,0.0,-2.2299999999999986,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0
d0195_t005,real,real,middle,Number,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0294_t015,real,real,middle,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0223_t051,real,real,middle,Number,1.0,2.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0271_t005,real,real,middle,Number,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0203_t009,real,real,middle,Algebra,4.0,17.0,0.0,5.246666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0232_t007,real,real,middle,Data and Statistics,3.0,8.0,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0
d0374_t015,real,real,middle,Algebra,37.0,147.0,0.0,11.233333333333334,0.0,0.0,0.0,8.108108108108109,0.0,0.0,0.0,0.0,1.0,2.7027027027027026
d0316_t009,real,real,middle,Data and Statistics,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0005_t009,real,real,middle,Number,8.0,15.0,0.0,-0.6699999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0246_t007,real,real,middle,Geometry and Measure,7.0,26.0,0.0,0.5166666666666693,0.0,0.0,0.0,0.0,14.285714285714286,0.0,1.0,0.0,1.0,14.285714285714286
d0280_t009,real,real,middle,Number,8.0,40.0,0.0,2.280000000000001,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.0,12.5
d0176_t009,real,real,middle,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0140_t011,real,real,middle,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0236_t009,real,real,middle,Data and Statistics,2.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
d0296_t023,real,real,middle,Number,1.0,4.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0183_t013,real,real,middle,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0250_t007,real,real,middle,Number,4.0,14.0,0.0,-2.619999999999999,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0341_t016,real,real,middle,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0369_t009,real,real,middle,Data and Statistics,2.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
d0293_t015,real,real,middle,Number,7.0,33.0,0.0,0.6257142857142846,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,14.285714285714286
d0230_t011,real,real,middle,Data and Statistics,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0221_t015,real,real,middle,Algebra,7.0,27.0,0.0,0.5166666666666693,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,1.0,0.0
d0041_t015,real,real,middle,Data and Statistics,2.0,6.0,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0112_t005,real,real,middle,Number,8.0,16.0,0.0,-2.2299999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0078_t006,real,real,middle,Number,6.0,26.0,0.0,0.5199999999999996,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,1.0,0.0
d0203_t011,real,real,middle,Algebra,1.0,2.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0137_t011,real,real,middle,Number,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0021_t013,real,real,middle,Number,1.0,3.0,0.0,-3.3999999999999986,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
d0272_t019,real,real,middle,Number,2.0,5.0,0.0,-3.01,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0277_t011,real,real,middle,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0210_t011,real,real,middle,Algebra,5.0,17.0,0.0,0.7199999999999989,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0
d0346_t013,real,real,middle,Number,2.0,6.0,0.0,-3.01,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0068_t015,real,real,middle,Number,10.0,28.0,0.0,-1.4499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0
d0023_t009,real,real,middle,Number,6.0,14.0,0.0,-2.2299999999999986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
d0263_t009,real,real,middle,Number,7.0,32.0,0.0,4.450000000000003,0.0,0.0,0.0,14.285714285714286,0.0,0.0,1.0,0.0,1.0,0.0
d0048_t013,real,real,middle,Geometry and Measure,5.0,26.0,0.0,6.620000000000001,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,20.0
d0284_t023,real,real,middle,Number,13.0,54.0,0.0,2.6459090909090897,0.0,7.6923076923076925,0.0,7.6923076923076925,7.6923076923076925,0.0,0.0,0.0,1.0,0.0
d0047_t011,real,real,middle,Geometry and Measure,8.0,33.0,0.0,0.6257142857142846,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0150_t011,real,real,middle,Number,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0039_t028,real,real,middle,Algebra,6.0,19.0,0.0,0.5199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0270_t013,real,real,middle,Number,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0264_t007,real,real,middle,Number,5.0,23.0,0.0,0.5199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0272_t027,real,real,middle,Number,4.0,17.0,0.0,-2.2299999999999986,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
d0340_t009,real,real,middle,Number,2.0,8.0,0.0,-3.01,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0348_t014,real,real,middle,Number,7.0,14.0,0.0,-2.619999999999999,14.285714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
d0378_t005,real,real,middle,Algebra,1.0,4.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0143_t012,real,real,middle,Number,4.0,8.0,0.0,-2.619999999999999,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0
d0305_t010,real,real,middle,Number,4.0,18.0,0.0,5.246666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
d0192_t015,real,real,middle,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0122_t012,real,real,middle,Number,3.0,13.0,0.0,2.890000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
d0360_t011,real,real,middle,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0168_t012,real,real,middle,Number,8.0,39.0,0.0,3.7550000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
d0095_t011,real,real,middle,Number,5.0,19.0,0.0,-2.2299999999999986,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0
d0174_t007,real,real,middle,Number,8.0,28.0,0.0,-1.0599999999999987,0.0,0.0,0.0,0.0,12.5,0.0,1.0,0.0,0.0,0.0
d0279_t009,real,real,middle,Number,2.0,7.0,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0018_t009,real,real,middle,Number,13.0,54.0,0.0,0.5004545454545486,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,1.0,0.0,1.0,0.0
d0076_t007,real,real,middle,Number,6.0,16.0,0.0,-2.2299999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668
d0364_t005,real,real,middle,Data and Statistics,2.0,16.0,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0360_t007,real,real,middle,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
